interaction_id,customer_id,interaction_date,interaction_type,channel,resolution_time_hours,satisfaction_score,repeat_contact_flag
INT017223,CUST018480,2023-10-14,Support Call,Email,16.8,3.4,False
INT017224,CUST010277,2023-11-06,Chat,Branch,13.0,2.6,True
INT017225,CUST007515,2023-06-11,Support Call,Mobile App,1.5,3.1,False
INT017226,CUST000097,2024-09-28,Support Call,Chat,16.0,4.1,True
INT017227,CUST004492,2023-09-19,Email Inquiry,Phone,9.0,4.2,True
INT017228,CUST011364,2023-01-09,Support Call,Phone,11.6,3.3,False
INT017229,CUST015316,2023-01-22,Email Inquiry,Email,5.1,4.0,False
INT017230,CUST013439,2024-02-17,Chat,Mobile App,9.4,3.3,False
INT017231,CUST012236,2023-10-20,Chat,Chat,12.5,3.6,False
INT017232,CUST002010,2024-01-09,Branch Visit,Phone,4.2,3.8,False
INT017233,CUST002455,2024-07-23,Chat,Email,17.5,3.0,False
INT017234,CUST015685,2023-05-17,Support Call,Email,2.2,5.0,False
INT017235,CUST006767,2024-07-26,Complaint,Phone,12.2,2.7,False
INT017236,CUST011332,2024-12-14,Email Inquiry,Chat,39.6,4.2,False
INT017237,CUST000409,2023-07-20,Chat,Branch,8.4,3.7,False
INT017238,CUST019726,2023-10-14,Support Call,Phone,14.0,3.7,True
INT017239,CUST004010,2023-04-12,Branch Visit,Phone,13.1,2.5,False
INT017240,CUST017571,2024-01-25,Chat,Branch,10.5,4.8,False
INT017241,CUST014263,2023-02-21,Support Call,Branch,7.8,2.8,False
INT017242,CUST010739,2023-11-18,Support Call,Email,8.6,5.0,False
INT017243,CUST012648,2024-03-13,Branch Visit,Mobile App,11.4,3.2,False
INT017244,CUST001158,2023-03-30,Branch Visit,Branch,7.2,4.0,False
INT017245,CUST015008,2023-05-28,Complaint,Chat,4.2,4.2,False
INT017246,CUST018156,2023-10-27,Complaint,Branch,1.1,2.5,False
INT017247,CUST014471,2023-04-14,Complaint,Branch,18.3,2.9,False
INT017248,CUST012477,2023-02-03,Support Call,Chat,5.3,4.9,False
INT017249,CUST009335,2024-06-19,Chat,Chat,1.5,3.7,False
INT017250,CUST011421,2024-06-14,Branch Visit,Mobile App,15.8,3.6,False
INT017251,CUST011064,2023-03-19,Email Inquiry,Branch,18.6,3.4,False
INT017252,CUST017557,2023-01-03,Support Call,Email,11.6,2.7,True
INT017253,CUST011179,2024-04-30,Support Call,Chat,17.3,4.6,False
INT017254,CUST002833,2023-06-11,Branch Visit,Email,18.8,4.6,False
INT017255,CUST004615,2023-07-27,Support Call,Mobile App,8.2,3.1,False
INT017256,CUST012002,2023-01-08,Branch Visit,Mobile App,11.0,5.0,False
INT017257,CUST002403,2024-01-27,Complaint,Mobile App,6.0,4.1,False
INT017258,CUST011824,2024-03-27,Support Call,Branch,13.3,4.1,False
INT017259,CUST014021,2024-08-01,Support Call,Phone,1.5,3.8,False
INT017260,CUST015974,2023-11-13,Chat,Chat,4.3,2.5,False
INT017261,CUST001179,2024-09-29,Branch Visit,Email,9.9,4.1,False
INT017262,CUST002518,2023-03-22,Chat,Phone,8.9,3.7,False
INT017263,CUST019063,2023-09-28,Branch Visit,Branch,7.2,4.1,False
INT017264,CUST016286,2023-10-12,Branch Visit,Chat,11.9,4.1,False
INT017265,CUST008651,2023-11-03,Chat,Chat,2.8,3.5,True
INT017266,CUST017727,2024-07-09,Chat,Phone,15.9,3.8,False
INT017267,CUST014186,2023-11-14,Chat,Phone,19.5,3.9,True
INT017268,CUST011131,2023-03-28,Support Call,Phone,21.8,3.5,False
INT017269,CUST009364,2024-01-02,Chat,Email,15.6,4.4,False
INT017270,CUST008534,2023-10-11,Branch Visit,Chat,27.5,2.7,False
INT017271,CUST007331,2023-07-18,Support Call,Branch,17.2,3.9,False
INT017272,CUST005967,2024-03-07,Chat,Mobile App,8.3,4.9,False
INT017273,CUST014864,2023-06-17,Chat,Phone,3.7,4.1,False
INT017274,CUST000077,2024-08-12,Chat,Phone,14.7,4.4,False
INT017275,CUST010553,2023-02-10,Support Call,Email,4.4,4.5,False
INT017276,CUST007144,2023-02-04,Complaint,Branch,12.5,1.5,True
INT017277,CUST017202,2024-10-11,Chat,Chat,8.0,3.9,False
INT017278,CUST006849,2023-06-06,Complaint,Branch,15.2,2.8,False
INT017279,CUST009847,2023-11-09,Branch Visit,Email,16.1,3.8,False
INT017280,CUST011019,2023-12-08,Support Call,Branch,5.7,3.5,False
INT017281,CUST013550,2023-05-27,Complaint,Mobile App,7.8,2.5,False
INT017282,CUST016011,2023-03-12,Chat,Mobile App,23.7,2.9,True
INT017283,CUST009190,2023-06-28,Complaint,Phone,13.0,3.9,False
INT017284,CUST007342,2024-08-21,Branch Visit,Mobile App,6.6,3.1,True
INT017285,CUST000957,2024-07-17,Chat,Email,14.2,2.9,False
INT017286,CUST014214,2024-05-05,Email Inquiry,Branch,25.0,3.7,False
INT017287,CUST019609,2024-12-15,Support Call,Chat,16.0,4.9,False
INT017288,CUST019510,2023-08-23,Support Call,Email,14.7,5.0,False
INT017289,CUST007680,2023-11-27,Support Call,Email,28.1,4.9,False
INT017290,CUST016458,2024-05-06,Branch Visit,Mobile App,9.2,4.5,False
INT017291,CUST010940,2023-07-15,Support Call,Branch,5.0,3.3,False
INT017292,CUST006202,2023-10-21,Chat,Phone,7.1,3.4,False
INT017293,CUST011215,2024-12-22,Email Inquiry,Email,17.1,3.9,True
INT017294,CUST016234,2024-09-27,Complaint,Branch,2.5,3.1,False
INT017295,CUST019529,2023-10-09,Support Call,Phone,8.3,3.3,True
INT017296,CUST016356,2024-12-12,Email Inquiry,Email,17.4,4.7,False
INT017297,CUST005234,2023-12-15,Branch Visit,Email,21.2,5.0,False
INT017298,CUST004330,2023-01-19,Complaint,Branch,7.5,2.2,False
INT017299,CUST014233,2024-02-24,Chat,Mobile App,2.3,4.8,False
INT017300,CUST018701,2023-12-24,Branch Visit,Email,15.8,2.0,True
INT017301,CUST012584,2023-04-26,Support Call,Email,5.7,3.8,False
INT017302,CUST016723,2024-01-15,Support Call,Branch,12.2,5.0,False
INT017303,CUST003522,2024-05-15,Chat,Mobile App,24.8,4.0,False
INT017304,CUST004920,2024-01-16,Complaint,Mobile App,7.5,4.2,False
INT017305,CUST006090,2024-01-30,Support Call,Mobile App,6.2,4.5,True
INT017306,CUST007469,2024-05-20,Chat,Branch,3.0,3.5,False
INT017307,CUST001178,2024-12-02,Chat,Chat,11.4,2.8,False
INT017308,CUST019970,2024-03-28,Chat,Email,5.5,4.4,False
INT017309,CUST001860,2024-07-26,Support Call,Phone,9.7,3.5,False
INT017310,CUST006796,2024-10-12,Support Call,Phone,18.1,4.9,False
INT017311,CUST005446,2024-09-24,Chat,Chat,12.9,2.8,False
INT017312,CUST019977,2024-12-17,Chat,Mobile App,2.1,4.8,True
INT017313,CUST003857,2024-01-25,Complaint,Phone,4.3,4.1,False
INT017314,CUST014177,2024-10-09,Support Call,Email,12.9,3.6,False
INT017315,CUST004422,2024-12-27,Branch Visit,Branch,19.8,3.4,False
INT017316,CUST006944,2023-04-21,Chat,Mobile App,12.7,3.3,True
INT017317,CUST011263,2024-01-01,Chat,Email,2.0,4.5,False
INT017318,CUST018340,2023-06-01,Support Call,Chat,17.3,3.9,False
INT017319,CUST017807,2024-08-13,Complaint,Email,16.1,3.4,False
INT017320,CUST008106,2024-06-12,Email Inquiry,Email,33.1,3.7,True
INT017321,CUST008139,2024-03-21,Support Call,Phone,4.7,4.0,False
INT017322,CUST019852,2024-09-23,Branch Visit,Phone,6.0,4.2,False
INT017323,CUST015868,2023-06-13,Complaint,Branch,26.5,3.7,False
INT017324,CUST016994,2023-05-22,Chat,Mobile App,26.6,2.0,False
INT017325,CUST016922,2024-02-17,Chat,Email,6.5,4.4,False
INT017326,CUST003800,2024-04-24,Complaint,Chat,7.3,4.1,False
INT017327,CUST009406,2023-09-14,Support Call,Chat,7.0,4.1,False
INT017328,CUST011092,2024-12-29,Branch Visit,Email,14.3,5.0,False
INT017329,CUST015414,2024-04-17,Email Inquiry,Branch,4.2,3.5,False
INT017330,CUST001381,2023-09-19,Support Call,Email,5.0,2.3,False
INT017331,CUST008972,2024-01-19,Complaint,Branch,11.8,2.9,False
INT017332,CUST001506,2023-06-11,Branch Visit,Email,4.9,4.3,False
INT017333,CUST002088,2023-04-13,Complaint,Branch,8.3,2.4,False
INT017334,CUST009090,2024-09-04,Complaint,Branch,4.5,3.0,False
INT017335,CUST017739,2024-08-03,Support Call,Chat,3.0,2.8,False
INT017336,CUST008106,2023-11-12,Email Inquiry,Chat,8.4,4.9,False
INT017337,CUST010344,2024-04-03,Complaint,Email,19.8,3.4,False
INT017338,CUST003492,2023-04-06,Branch Visit,Branch,7.6,4.1,False
INT017339,CUST018625,2023-08-18,Support Call,Email,9.0,5.0,True
INT017340,CUST009772,2023-01-16,Branch Visit,Email,10.5,2.9,False
INT017341,CUST019482,2024-11-22,Chat,Branch,8.3,3.9,True
INT017342,CUST000087,2024-11-29,Chat,Chat,1.1,3.3,False
INT017343,CUST005263,2023-03-27,Branch Visit,Email,15.8,3.1,False
INT017344,CUST005230,2024-05-20,Support Call,Mobile App,5.9,3.9,False
INT017345,CUST000760,2024-05-30,Branch Visit,Phone,2.7,4.1,False
INT017346,CUST017083,2023-08-03,Email Inquiry,Branch,7.8,3.7,False
INT017347,CUST009250,2023-05-11,Branch Visit,Chat,20.0,4.5,False
INT017348,CUST010174,2023-04-01,Complaint,Chat,9.8,3.7,False
INT017349,CUST014270,2024-06-18,Branch Visit,Mobile App,0.5,4.1,False
INT017350,CUST010532,2023-03-11,Complaint,Mobile App,3.8,3.3,False
INT017351,CUST014829,2023-08-05,Support Call,Email,5.4,1.8,True
INT017352,CUST010425,2023-04-17,Support Call,Email,3.8,4.0,False
INT017353,CUST013102,2024-10-18,Branch Visit,Email,19.6,5.0,False
INT017354,CUST018598,2024-10-20,Chat,Email,12.6,3.9,False
INT017355,CUST016007,2024-06-07,Support Call,Email,6.4,2.4,False
INT017356,CUST000160,2023-10-02,Branch Visit,Chat,3.1,3.3,False
INT017357,CUST004686,2023-08-05,Branch Visit,Chat,13.1,3.9,False
INT017358,CUST004524,2023-04-17,Chat,Branch,2.1,4.1,False
INT017359,CUST000780,2024-03-27,Chat,Mobile App,14.5,3.4,False
INT017360,CUST014783,2024-05-29,Branch Visit,Chat,6.6,3.0,False
INT017361,CUST001110,2023-09-03,Chat,Phone,0.7,3.9,False
INT017362,CUST011274,2024-04-13,Branch Visit,Phone,3.0,3.0,False
INT017363,CUST000054,2023-01-01,Complaint,Email,18.7,2.5,False
INT017364,CUST012758,2023-10-13,Email Inquiry,Phone,19.3,4.4,False
INT017365,CUST000095,2024-11-20,Complaint,Phone,1.2,2.9,False
INT017366,CUST015367,2023-12-21,Branch Visit,Chat,11.0,4.1,False
INT017367,CUST005439,2024-07-15,Chat,Email,12.1,3.4,False
INT017368,CUST013202,2023-09-22,Complaint,Branch,2.0,3.1,False
INT017369,CUST005193,2023-06-03,Complaint,Branch,45.3,3.1,False
INT017370,CUST003601,2023-05-09,Branch Visit,Phone,4.7,5.0,False
INT017371,CUST011147,2024-04-06,Support Call,Chat,8.8,4.5,False
INT017372,CUST006086,2024-10-10,Email Inquiry,Email,2.4,2.9,True
INT017373,CUST006523,2023-08-05,Branch Visit,Phone,5.3,2.3,False
INT017374,CUST000477,2024-10-15,Complaint,Mobile App,25.7,4.3,False
INT017375,CUST005239,2024-04-30,Support Call,Chat,8.2,3.5,False
INT017376,CUST017806,2024-05-16,Branch Visit,Mobile App,11.0,2.5,False
INT017377,CUST008984,2023-08-02,Email Inquiry,Mobile App,4.3,4.0,False
INT017378,CUST008875,2024-10-11,Complaint,Branch,8.6,3.4,True
INT017379,CUST016544,2024-01-08,Email Inquiry,Chat,5.3,4.9,False
INT017380,CUST000694,2024-07-15,Complaint,Email,16.4,2.6,False
INT017381,CUST002682,2023-01-03,Support Call,Mobile App,3.0,5.0,False
INT017382,CUST013361,2024-04-06,Chat,Phone,8.4,3.2,False
INT017383,CUST009623,2023-07-01,Branch Visit,Branch,21.8,2.4,False
INT017384,CUST019176,2023-11-11,Branch Visit,Phone,4.2,4.0,False
INT017385,CUST007439,2024-12-06,Support Call,Mobile App,7.9,4.3,False
INT017386,CUST017563,2024-01-05,Complaint,Branch,11.8,3.9,False
INT017387,CUST004878,2023-04-16,Support Call,Email,26.7,2.8,False
INT017388,CUST009399,2024-07-27,Complaint,Mobile App,11.9,3.0,False
INT017389,CUST019559,2023-10-30,Chat,Chat,6.4,3.4,False
INT017390,CUST001000,2023-12-27,Chat,Email,12.0,3.4,False
INT017391,CUST005183,2024-10-21,Branch Visit,Branch,7.1,2.5,False
INT017392,CUST013597,2023-07-21,Complaint,Email,12.8,3.0,False
INT017393,CUST006727,2024-03-24,Complaint,Mobile App,15.5,4.4,False
INT017394,CUST008104,2023-12-09,Support Call,Mobile App,1.4,3.4,False
INT017395,CUST010074,2023-02-28,Support Call,Phone,7.5,4.1,False
INT017396,CUST006268,2023-01-30,Branch Visit,Email,6.3,2.7,False
INT017397,CUST012002,2023-07-06,Support Call,Chat,10.7,4.0,False
INT017398,CUST011135,2023-05-12,Support Call,Phone,5.5,4.1,False
INT017399,CUST016844,2024-08-27,Chat,Phone,13.0,3.6,False
INT017400,CUST006534,2023-11-07,Chat,Branch,22.2,3.9,False
INT017401,CUST000857,2023-10-04,Complaint,Mobile App,2.1,4.0,False
INT017402,CUST011284,2023-07-14,Support Call,Chat,5.4,3.5,False
INT017403,CUST003559,2024-12-11,Branch Visit,Mobile App,9.2,2.0,False
INT017404,CUST005267,2024-08-14,Complaint,Chat,11.2,3.3,False
INT017405,CUST012618,2024-09-18,Branch Visit,Phone,4.0,3.8,False
INT017406,CUST004773,2023-06-26,Chat,Branch,1.7,5.0,False
INT017407,CUST003592,2023-04-28,Support Call,Chat,6.1,1.8,False
INT017408,CUST006501,2023-11-12,Complaint,Email,4.7,2.9,False
INT017409,CUST018453,2024-03-07,Branch Visit,Mobile App,19.3,3.5,False
INT017410,CUST006079,2024-10-18,Branch Visit,Branch,5.7,3.7,False
INT017411,CUST002231,2023-02-19,Complaint,Mobile App,6.6,4.8,False
INT017412,CUST008629,2024-02-05,Chat,Branch,16.8,3.2,False
INT017413,CUST009963,2023-03-25,Email Inquiry,Mobile App,2.9,2.6,False
INT017414,CUST015937,2024-06-25,Support Call,Mobile App,13.1,4.3,False
INT017415,CUST016144,2024-06-27,Support Call,Branch,21.9,3.8,True
INT017416,CUST012963,2023-07-22,Support Call,Phone,5.3,3.4,False
INT017417,CUST013628,2024-03-06,Complaint,Email,13.1,2.6,False
INT017418,CUST005845,2024-10-10,Complaint,Branch,19.0,3.0,False
INT017419,CUST011341,2023-01-31,Branch Visit,Mobile App,19.8,5.0,False
INT017420,CUST008380,2024-04-07,Email Inquiry,Chat,19.1,4.2,False
INT017421,CUST012031,2024-09-12,Branch Visit,Chat,21.2,4.0,True
INT017422,CUST001720,2024-04-11,Branch Visit,Mobile App,1.8,3.3,True
INT017423,CUST018516,2024-10-23,Complaint,Mobile App,12.5,4.4,False
INT017424,CUST007488,2024-03-10,Complaint,Email,17.1,3.8,False
INT017425,CUST003830,2023-01-13,Support Call,Mobile App,9.2,4.7,True
INT017426,CUST017934,2024-02-25,Email Inquiry,Phone,4.6,4.0,False
INT017427,CUST018905,2023-07-02,Chat,Branch,3.2,3.8,True
INT017428,CUST007919,2024-12-06,Chat,Branch,17.6,2.5,False
INT017429,CUST015933,2024-08-15,Chat,Email,5.8,3.5,False
INT017430,CUST004440,2024-10-25,Complaint,Mobile App,4.6,3.0,False
INT017431,CUST010629,2024-11-17,Branch Visit,Chat,5.6,3.7,False
INT017432,CUST016393,2024-05-12,Support Call,Phone,8.1,5.0,False
INT017433,CUST005524,2023-05-18,Chat,Phone,35.3,3.6,True
INT017434,CUST017970,2023-02-09,Support Call,Mobile App,17.6,3.9,False
INT017435,CUST012586,2024-07-03,Branch Visit,Phone,13.1,4.7,False
INT017436,CUST019142,2023-04-24,Complaint,Branch,8.7,4.7,False
INT017437,CUST001821,2024-08-25,Chat,Mobile App,19.0,3.4,False
INT017438,CUST014065,2024-02-13,Support Call,Chat,4.1,3.8,False
INT017439,CUST010449,2023-08-30,Email Inquiry,Mobile App,2.2,3.7,False
INT017440,CUST012369,2024-01-22,Complaint,Phone,11.0,4.4,False
INT017441,CUST008976,2023-07-01,Support Call,Chat,36.6,4.4,False
INT017442,CUST009990,2023-04-26,Support Call,Phone,12.2,3.9,True
INT017443,CUST014687,2023-06-29,Email Inquiry,Chat,35.3,3.1,False
INT017444,CUST003891,2024-12-18,Chat,Chat,7.3,3.8,False
INT017445,CUST003061,2023-12-31,Chat,Phone,18.9,2.9,False
INT017446,CUST008279,2023-12-15,Email Inquiry,Phone,13.2,5.0,False
INT017447,CUST004922,2023-10-11,Support Call,Email,7.2,3.8,False
INT017448,CUST007778,2024-07-18,Support Call,Phone,11.1,3.8,False
INT017449,CUST019127,2023-02-11,Chat,Mobile App,26.1,2.5,True
INT017450,CUST002869,2023-12-07,Branch Visit,Branch,0.6,3.9,False
INT017451,CUST014314,2023-11-27,Complaint,Branch,18.9,3.4,False
INT017452,CUST008401,2023-11-05,Chat,Mobile App,12.8,4.1,False
INT017453,CUST009398,2023-09-16,Email Inquiry,Email,4.6,2.4,False
INT017454,CUST017008,2024-03-19,Chat,Phone,16.3,3.2,False
INT017455,CUST006258,2024-06-03,Branch Visit,Mobile App,24.5,2.4,True
INT017456,CUST000917,2024-10-10,Chat,Mobile App,3.7,2.6,False
INT017457,CUST010519,2023-10-01,Support Call,Mobile App,9.1,2.9,False
INT017458,CUST004576,2024-10-20,Chat,Branch,6.5,3.2,False
INT017459,CUST008004,2024-03-02,Branch Visit,Mobile App,8.0,2.8,False
INT017460,CUST000177,2023-05-26,Chat,Mobile App,9.7,4.3,False
INT017461,CUST015248,2023-09-25,Branch Visit,Phone,17.2,4.2,False
INT017462,CUST011968,2024-12-16,Branch Visit,Phone,5.6,4.1,False
INT017463,CUST004465,2023-06-24,Branch Visit,Email,10.7,4.5,False
INT017464,CUST005456,2024-04-18,Chat,Email,5.8,2.9,False
INT017465,CUST010984,2024-06-25,Support Call,Mobile App,11.1,3.8,False
INT017466,CUST002203,2024-12-29,Chat,Email,30.3,4.8,False
INT017467,CUST015205,2024-08-22,Complaint,Chat,2.8,3.9,False
INT017468,CUST014911,2024-08-22,Support Call,Chat,7.8,2.7,False
INT017469,CUST009206,2024-06-29,Chat,Branch,10.0,3.5,False
INT017470,CUST011251,2023-02-21,Branch Visit,Mobile App,6.4,2.2,False
INT017471,CUST016274,2024-05-15,Support Call,Phone,26.0,3.5,False
INT017472,CUST009044,2024-11-16,Email Inquiry,Mobile App,10.4,3.9,False
INT017473,CUST019270,2023-08-31,Complaint,Email,6.2,4.7,False
INT017474,CUST001356,2024-03-07,Support Call,Mobile App,11.7,2.0,False
INT017475,CUST009555,2024-06-28,Chat,Chat,38.1,3.4,False
INT017476,CUST014206,2023-03-16,Complaint,Email,14.7,3.9,False
INT017477,CUST015917,2024-03-08,Complaint,Mobile App,4.6,3.1,False
INT017478,CUST019790,2023-03-05,Email Inquiry,Email,17.2,3.0,False
INT017479,CUST016528,2024-06-20,Support Call,Phone,6.7,3.7,False
INT017480,CUST012671,2023-01-13,Complaint,Phone,9.7,4.1,False
INT017481,CUST008045,2023-12-08,Branch Visit,Phone,12.9,4.0,True
INT017482,CUST012890,2023-06-14,Chat,Mobile App,10.5,3.8,False
INT017483,CUST004059,2023-12-06,Chat,Phone,23.3,5.0,False
INT017484,CUST017058,2024-10-08,Chat,Branch,12.8,4.1,False
INT017485,CUST000464,2024-08-30,Chat,Branch,4.1,2.7,False
INT017486,CUST018430,2024-06-14,Chat,Branch,18.8,4.7,False
INT017487,CUST005218,2023-09-05,Email Inquiry,Mobile App,15.3,2.4,True
INT017488,CUST012563,2024-05-01,Branch Visit,Chat,31.4,2.4,False
INT017489,CUST015506,2024-07-11,Branch Visit,Phone,8.4,3.3,False
INT017490,CUST015690,2023-06-22,Email Inquiry,Branch,23.9,3.5,False
INT017491,CUST005043,2024-12-26,Branch Visit,Branch,7.5,3.2,False
INT017492,CUST011812,2024-10-19,Support Call,Mobile App,41.7,2.8,False
INT017493,CUST011888,2024-01-04,Chat,Mobile App,3.8,4.0,False
INT017494,CUST006114,2024-07-14,Complaint,Email,10.1,3.6,False
INT017495,CUST016083,2024-02-10,Support Call,Email,27.3,5.0,False
INT017496,CUST017075,2024-04-15,Support Call,Phone,3.2,2.7,False
INT017497,CUST000693,2024-02-12,Branch Visit,Mobile App,15.4,5.0,False
INT017498,CUST010025,2024-03-16,Chat,Branch,11.7,3.1,False
INT017499,CUST006339,2024-01-01,Branch Visit,Chat,8.8,3.6,False
INT017500,CUST018041,2023-08-29,Support Call,Email,8.0,4.0,False
INT017501,CUST006249,2024-05-29,Email Inquiry,Phone,18.0,2.0,False
INT017502,CUST010831,2024-05-02,Support Call,Branch,13.9,3.5,False
INT017503,CUST004462,2024-08-20,Complaint,Phone,5.2,4.8,False
INT017504,CUST018291,2024-06-26,Branch Visit,Email,3.1,3.8,False
INT017505,CUST018323,2023-11-01,Complaint,Mobile App,6.2,3.7,False
INT017506,CUST012139,2024-08-28,Branch Visit,Phone,9.1,3.1,True
INT017507,CUST000127,2023-06-30,Support Call,Branch,12.8,4.5,False
INT017508,CUST014413,2023-09-17,Support Call,Chat,11.5,4.3,False
INT017509,CUST006087,2023-01-19,Complaint,Branch,41.7,3.5,True
INT017510,CUST017782,2024-09-30,Chat,Branch,21.5,3.0,False
INT017511,CUST003645,2023-03-23,Chat,Branch,10.5,3.9,False
INT017512,CUST007573,2024-04-16,Email Inquiry,Chat,4.8,5.0,True
INT017513,CUST004367,2023-08-31,Chat,Mobile App,9.4,2.2,False
INT017514,CUST001285,2024-01-27,Support Call,Phone,13.9,2.4,False
INT017515,CUST011588,2024-02-18,Chat,Branch,35.6,4.0,False
INT017516,CUST003930,2024-12-08,Branch Visit,Chat,2.7,4.1,False
INT017517,CUST014791,2023-06-01,Support Call,Branch,2.5,4.2,False
INT017518,CUST015492,2024-06-27,Support Call,Branch,20.4,2.7,False
INT017519,CUST009702,2023-09-19,Support Call,Branch,11.4,3.8,False
INT017520,CUST015210,2024-09-23,Branch Visit,Branch,9.9,4.1,True
INT017521,CUST017518,2023-10-23,Support Call,Mobile App,1.7,4.0,False
INT017522,CUST015355,2024-04-21,Email Inquiry,Chat,9.7,3.2,False
INT017523,CUST001447,2023-11-23,Support Call,Email,22.7,5.0,False
INT017524,CUST005848,2024-01-28,Chat,Phone,13.5,2.4,False
INT017525,CUST010919,2023-11-20,Support Call,Mobile App,3.6,4.3,False
INT017526,CUST002726,2023-05-22,Complaint,Mobile App,8.8,2.7,False
INT017527,CUST013297,2024-11-25,Complaint,Chat,12.9,3.4,False
INT017528,CUST017958,2023-11-02,Complaint,Mobile App,10.4,3.2,True
INT017529,CUST012233,2024-04-09,Complaint,Email,26.1,3.2,False
INT017530,CUST015756,2023-12-03,Chat,Phone,1.1,2.2,False
INT017531,CUST004383,2023-06-15,Support Call,Phone,10.5,2.2,False
INT017532,CUST015452,2023-09-14,Support Call,Email,8.0,3.1,False
INT017533,CUST007610,2024-08-23,Complaint,Phone,4.9,3.2,False
INT017534,CUST007382,2024-03-26,Branch Visit,Branch,17.2,3.9,False
INT017535,CUST011132,2024-08-09,Branch Visit,Phone,2.4,2.6,False
INT017536,CUST002352,2024-05-17,Support Call,Email,15.7,4.1,False
INT017537,CUST017999,2023-09-07,Branch Visit,Branch,15.2,3.9,False
INT017538,CUST008388,2023-05-22,Chat,Mobile App,11.5,2.6,False
INT017539,CUST019934,2024-03-07,Complaint,Branch,16.7,4.2,False
INT017540,CUST006953,2023-04-24,Support Call,Mobile App,11.0,2.9,False
INT017541,CUST004255,2024-08-20,Chat,Chat,4.7,5.0,False
INT017542,CUST014643,2023-07-27,Branch Visit,Branch,10.7,3.7,False
INT017543,CUST004929,2023-10-13,Support Call,Email,5.5,3.4,False
INT017544,CUST001675,2024-08-30,Support Call,Mobile App,27.8,3.9,False
INT017545,CUST011846,2023-11-08,Email Inquiry,Phone,13.1,4.7,False
INT017546,CUST002000,2024-10-20,Branch Visit,Branch,11.4,4.7,False
INT017547,CUST017627,2023-10-25,Email Inquiry,Chat,13.4,4.4,True
INT017548,CUST019276,2024-11-03,Support Call,Branch,42.0,3.2,False
INT017549,CUST001274,2024-06-30,Support Call,Email,13.5,3.6,False
INT017550,CUST004865,2023-04-03,Support Call,Phone,12.5,1.8,False
INT017551,CUST017642,2023-04-23,Support Call,Mobile App,1.9,4.6,True
INT017552,CUST001657,2024-06-26,Chat,Phone,11.7,2.5,False
INT017553,CUST007288,2023-02-12,Branch Visit,Chat,14.4,3.5,True
INT017554,CUST004842,2023-10-01,Support Call,Mobile App,10.0,4.3,True
INT017555,CUST003920,2023-09-08,Support Call,Chat,23.3,4.7,False
INT017556,CUST003297,2024-06-15,Branch Visit,Email,2.7,5.0,False
INT017557,CUST019448,2024-02-06,Branch Visit,Branch,13.5,3.4,False
INT017558,CUST004475,2024-09-15,Complaint,Email,11.2,3.4,False
INT017559,CUST018314,2023-06-18,Chat,Mobile App,7.9,3.6,False
INT017560,CUST003902,2023-08-12,Email Inquiry,Mobile App,8.4,3.0,True
INT017561,CUST010930,2023-09-09,Support Call,Phone,3.2,4.3,False
INT017562,CUST007083,2023-05-16,Branch Visit,Branch,20.1,3.4,False
INT017563,CUST000395,2023-06-06,Chat,Chat,19.1,5.0,False
INT017564,CUST001172,2023-08-27,Email Inquiry,Email,9.1,4.1,False
INT017565,CUST010772,2024-07-22,Complaint,Mobile App,7.9,2.8,False
INT017566,CUST008135,2023-05-18,Email Inquiry,Phone,15.3,5.0,False
INT017567,CUST007906,2023-12-25,Branch Visit,Phone,9.1,3.8,True
INT017568,CUST013062,2024-04-19,Complaint,Mobile App,16.7,2.6,True
INT017569,CUST010254,2023-10-27,Complaint,Phone,28.9,2.6,False
INT017570,CUST016965,2024-10-22,Email Inquiry,Branch,21.5,3.2,False
INT017571,CUST012907,2024-01-24,Complaint,Branch,2.7,3.2,False
INT017572,CUST008616,2024-10-08,Email Inquiry,Branch,4.8,3.9,False
INT017573,CUST003174,2024-04-11,Chat,Chat,22.6,5.0,False
INT017574,CUST017971,2023-10-15,Chat,Mobile App,5.6,3.8,False
INT017575,CUST018886,2024-05-20,Support Call,Email,2.0,4.5,False
INT017576,CUST015803,2024-08-24,Support Call,Chat,9.5,1.9,False
INT017577,CUST017197,2023-09-06,Support Call,Branch,14.7,4.2,False
INT017578,CUST014231,2023-10-28,Branch Visit,Email,22.5,4.7,False
INT017579,CUST000524,2024-06-24,Complaint,Branch,4.1,5.0,False
INT017580,CUST006476,2023-03-22,Chat,Mobile App,8.6,2.7,False
INT017581,CUST007865,2024-06-07,Support Call,Email,2.0,3.9,False
INT017582,CUST011263,2023-08-28,Complaint,Email,28.4,3.9,True
INT017583,CUST004522,2024-05-07,Support Call,Mobile App,2.8,5.0,False
INT017584,CUST008512,2023-08-31,Complaint,Email,15.6,4.2,False
INT017585,CUST019259,2024-08-22,Branch Visit,Email,22.7,5.0,False
INT017586,CUST007561,2024-08-14,Support Call,Email,22.5,4.1,False
INT017587,CUST003889,2024-07-03,Email Inquiry,Email,1.9,5.0,False
INT017588,CUST003333,2023-11-10,Branch Visit,Mobile App,14.2,1.8,False
INT017589,CUST001490,2023-11-28,Branch Visit,Mobile App,14.9,3.5,True
INT017590,CUST018618,2023-09-17,Branch Visit,Email,4.1,5.0,False
INT017591,CUST000339,2024-12-22,Chat,Phone,3.5,3.1,False
